Origen,Aeropuerto Origen,Hora Salida,Hora de Llegada,Destino,Aeropuerto / Destino,Tiempo Vuelo,Origen / Vuelta,Aeropuerto / Origen,Hora Salida - V,Hora Llegada - V,Destino / Vuelta,Aeropuerto / Destino - Vuelta,Tiempo Vuelo - V,Aerolinea,Precio_1,Agencia_1,Precio_2,Agencia_2,Precio_3,Agencia_3,Clase
Bogota,El Dorado,9:01,10:01,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,10:49,11:39,Bogota,El Dorado,0h 50m,Avianca,$531.850,Avianca,$615.150,Avianca,$305.750,Avianca,Basic
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,JetSMART,$195.196,Viajes Éxito,$199.650,Aviatur,$179.423,eDestinos,Turista
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,JetSMART,$195.196,Viajes Éxito,$199.650,Aviatur,$179.423,eDestinos,Turista
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,JetSMART,$195.196,Viajes Éxito,$199.650,Aviatur,$179.423,eDestinos,Turista
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,22:19,23:15,Bogota,El Dorado,0h 56m,JetSMART,$195.196,Viajes Éxito,$199.650,Aviatur,$179.423,eDestinos,Turista
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,22:19,23:15,Bogota,El Dorado,0h 56m,JetSMART,$195.196,Viajes Éxito,$199.650,Aviatur,$179.423,eDestinos,Turista
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,22:19,23:15,Bogota,El Dorado,0h 56m,JetSMART,$195.196,Viajes Éxito,$199.650,Aviatur,$179.423,eDestinos,Turista
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,9:01,10:01,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,10:49,11:39,Bogota,El Dorado,0h 50m,Avianca,$531.850,Avianca,$615.150,Avianca,$305.750,Avianca,Basic
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,JetSMART,$236.846,Viajes Éxito,$241.300,Aviatur,$222.249,eDestinos,Turista
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,8:02,8:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,6:30,7:31,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,JetSMART,$251.720,eDestinos,$263.670,Aviatur,$243.212,Viajes Éxito,Turista
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,14:53,15:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,9:02,9:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,9:02,9:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,18:53,19:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,8:02,8:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,7:47,8:44,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,7:47,8:44,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,7:47,8:44,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,18:53,19:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,14:53,15:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,8:02,8:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,9:02,9:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,14:53,15:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,18:53,19:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,19:55,20:56,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,JetSMART,$267.239,eDestinos,$276.410,Aviatur,$260.491,Viajes Éxito,Turista
Bogota,El Dorado,6:35,7:35,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,6:00,6:56,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$279.983,Viajes Falabella,$319.569,Kiwi.com,$257.417,Despegar,Basic
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,8:00,9:01,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,9:40,10:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,6:40,7:41,Medellin,José María Córdova,1h 01m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,"JetSMART, LATAM Airlines",$279.999,Viajes Falabella,$328.918,eDreams,$257.633,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,8:02,9:01,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,20:56,21:54,Bogota,El Dorado,0h 58m,Wingo,$273.420,Wingo,$283.060,Aviatur,$271.886,eDreams,Go Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,8:02,9:01,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:00,6:58,Bogota,El Dorado,0h 58m,Wingo,$273.420,Wingo,$283.060,Aviatur,$271.886,eDreams,Go Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,12:43,13:42,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,20:56,21:54,Bogota,El Dorado,0h 58m,Wingo,$283.060,Aviatur,$288.420,Viajes Éxito,$273.420,Wingo,Go Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,14:53,15:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,12:43,13:42,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,6:00,6:58,Bogota,El Dorado,0h 58m,Wingo,$283.060,Aviatur,$288.420,Viajes Éxito,$273.420,Wingo,Go Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,13:55,14:51,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,9:02,9:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,8:02,8:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,18:53,19:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,14:43,15:39,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,7:17,8:16,Medellin,José María Córdova,0h 59m,Medellin,José María Córdova,7:47,8:44,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:14,12:10,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,14:53,15:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,11:51,12:47,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,9:02,9:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,19:05,20:01,Medellin,José María Córdova,0h 56m,Medellin,José María Córdova,14:11,15:07,Bogota,El Dorado,0h 56m,"LATAM Airlines, JetSMART",$319.987,Viajes Falabella,$395.041,Trip.com,$299.067,Despegar,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,8:02,8:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,6:03,7:00,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,6:48,7:45,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,18:53,19:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,9:15,10:15,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,7:47,8:44,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,20:15,21:12,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,7:47,8:44,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,12:18,13:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,9:02,9:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,18:53,19:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,8:02,8:59,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,13:18,14:15,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
Bogota,El Dorado,10:30,11:30,Medellin,José María Córdova,1h 00m,Medellin,José María Córdova,14:53,15:50,Bogota,El Dorado,0h 57m,LATAM Airlines,$306.752,Aviatur,$309.961,Despegar,$306.752,LATAM Airlines,Basic
